8, 39531752
9, 30698772
10, 28898844
11, 27048918
12, 25315654
13, 23599056
14, 21815794
15, 20232524
16, 18549258
17, 16949322
18, 15349386
19, 14949402
20, 14682746
21, 14599416
22, 14149434
23, 13899444
24, 13616122
25, 13266136
26, 12982814
27, 12666160
28, 12399504
29, 12199512
30, 11866192
31, 11566204
32, 11216218
33, 11066224
34, 10766236
35, 10582910
36, 10349586
37, 10282922
38, 10249590
39, 10199592
40, 10132928
41, 10132928
42, 10399584
43, 10049598
44, 10049598
45, 10049598
46, 9949602
47, 9882938
48, 9916270
49, 9849606
50, 9782942
51, 9749610
52, 9749610
53, 9832940
54, 9732944
55, 9749610
56, 9732944
57, 9632948
58, 9666280
59, 9666280
60, 9666280
61, 9582950
62, 9599616
63, 9532952
64, 9616282
65, 9499620
66, 9449622
67, 9516286
68, 9416290
69, 9466288
70, 9399624
71, 9416290
72, 9399624
73, 9416290
74, 9449622
75, 9416290
76, 9432956
77, 9416290
78, 9432956
79, 9416290
80, 9482954
81, 9432956
82, 9432956
83, 9449622
84, 9482954
85, 9449622
86, 9482954
87, 9466288
88, 9449622
89, 9482954
90, 9466288
91, 9516286
92, 9466288
93, 9516286
94, 9466288
95, 9516286
96, 9499620
97, 9532952
98, 9532952
99, 9516286
100, 9549618
101, 9566284
102, 9549618
103, 9582950
104, 9582950
105, 9632948
106, 9632948
107, 9716278
108, 9632948
109, 9649614
110, 9632948
111, 9682946
112, 9666280
113, 9732944
114, 9782942
115, 9682946
116, 9799608
117, 9949602
118, 9766276
119, 9766276
120, 9782942
121, 9816274
122, 9799608
123, 9849606
124, 9832940
125, 9932936
126, 9932936
127, 10066264
128, 9932936
129, 9966268
130, 10066264
131, 9999600
132, 10032932
133, 10049598
134, 10082930
135, 10116262
136, 10182926
137, 10166260
138, 10182926
139, 10199592
140, 10266256
141, 10282922
142, 10332920
143, 10349586
144, 10349586
145, 10399584
146, 10516246
147, 10399584
148, 10399584
149, 10416250
150, 10416250
151, 10449582
152, 10532912
153, 10466248
154, 10416250
155, 10432916
156, 10416250
157, 10532912
158, 10549578
159, 10466248
160, 10532912
161, 10516246
162, 10582910
163, 10516246
164, 10516246
165, 10582910
166, 10549578
167, 10599576
168, 10666240
169, 10632908
170, 10616242
171, 10649574
172, 10566244
173, 10682906
174, 10599576
175, 10616242
176, 10582910
177, 10649574
178, 10599576
179, 10616242
180, 10632908
181, 10666240
182, 10632908
183, 10699572
184, 10666240
185, 10716238
186, 10682906
187, 10682906
188, 10682906
189, 10699572
190, 10782902
191, 10816234
192, 10749570
193, 10732904
194, 10749570
195, 10749570
196, 10766236
197, 10782902
198, 10799568
199, 10782902
200, 10816234
8, 18446744069448082980
9, 26048958
10, 24415690
11, 22815754
12, 21349146
13, 19665880
14, 18032612
15, 16516006
16, 14882738
17, 13399464
18, 12116182
19, 11749530
20, 11532872
21, 11232884
22, 10999560
23, 10782902
24, 10666240
25, 10216258
26, 9916270
27, 9699612
28, 9399624
29, 9149634
30, 9032972
31, 8599656
32, 8349666
33, 8016346
34, 7716358
35, 7449702
36, 7166380
37, 7133048
38, 7083050
39, 7016386
40, 6949722
41, 6899724
42, 6933056
43, 6816394
44, 6816394
45, 6699732
46, 6849726
47, 7266376
48, 6799728
49, 6749730
50, 6683066
51, 6516406
52, 6483074
53, 6399744
54, 6416410
55, 6333080
56, 6266416
57, 6183086
58, 6283082
59, 6166420
60, 6266416
61, 6049758
62, 6049758
63, 5983094
64, 5949762
65, 5899764
66, 5866432
67, 5833100
68, 5816434
69, 5799768
70, 5783102
71, 5699772
72, 5716438
73, 5766436
74, 5699772
75, 5733104
76, 5683106
77, 5633108
78, 5666440
79, 5633108
80, 5649774
81, 5633108
82, 5666440
83, 5616442
84, 5699772
85, 5699772
86, 5983094
87, 5933096
88, 6099756
89, 5749770
90, 5799768
91, 5816434
92, 5883098
93, 5916430
94, 5849766
95, 5749770
96, 5916430
97, 5816434
98, 5749770
99, 5833100
100, 5866432
101, 6099756
102, 6016426
103, 5816434
104, 5616442
105, 5683106
106, 5733104
107, 5699772
108, 5766436
109, 5699772
110, 5666440
111, 5616442
112, 5683106
113, 5733104
114, 5766436
115, 5583110
116, 5566444
117, 5583110
118, 5649774
119, 5633108
120, 5683106
121, 5649774
122, 5649774
123, 5916430
124, 5766436
125, 5599776
126, 5616442
127, 5683106
128, 5599776
129, 5699772
130, 5716438
131, 5749770
132, 5799768
133, 5816434
134, 5866432
135, 5916430
136, 5983094
137, 6066424
138, 6066424
139, 6149754
140, 6249750
141, 6266416
142, 6533072
143, 6383078
144, 6316414
145, 6483074
146, 6449742
147, 6449742
148, 6466408
149, 6449742
150, 6483074
151, 6499740
152, 6499740
153, 6516406
154, 6499740
155, 6533072
156, 6549738
157, 6616402
158, 6566404
159, 6566404
160, 6566404
161, 6633068
162, 6599736
163, 6599736
164, 6583070
165, 6616402
166, 6616402
167, 6616402
168, 6649734
169, 6666400
170, 6666400
171, 6683066
172, 6666400
173, 6733064
174, 6783062
175, 6699732
176, 6783062
177, 6783062
178, 6783062
179, 6949722
180, 6949722
181, 6949722
182, 6933056
183, 6883058
184, 6799728
185, 7033052
186, 7083050
187, 6883058
188, 6916390
189, 6999720
190, 7016386
191, 6983054
192, 6933056
193, 7099716
194, 7099716
195, 7099716
196, 7083050
197, 7099716
198, 7066384
199, 7083050
200, 7099716

Karatsuba Multiplier Cutoff: 70
Karatsuba Squaring Cutoff: 116
